Subject ID,Subject word,Subject definition,Object ID,Object Word,Object Defnition,Predicate,Annotation
WebChild:105352433,metatarsal artery,dorsal and plantar arteries to the metatarsal region of the foot,WebChild:110519884,remittance man,an exile living on money sent from home,/r/PartOf
WebChild:105271383,anklebone,the bone in the ankle that articulates with the leg bones to form the ankle joint,WebChild:110475940,prior,the head of a religious order; in an abbey the prior is next below the abbot,/r/PartOf
WebChild:105281691,xiphoid process,smallest of the three parts of the breastbone; articulates with the corpus sternum and the seventh rib,WebChild:110714577,toff,informal term for an upper-class or wealthy person,/r/PartOf
WebChild:105600637,face,"the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news""",WebChild:110621738,softy,a person who is weak and excessively sentimental,/r/PartOf
WebChild:105499172,thalamus,large egg-shaped structures of grey matter that form the dorsal subdivision of the diencephalon,WebChild:109874518,bricklayer,a craftsman skilled in building with bricks,/r/PartOf
WebChild:105329735,endocrine gland,any of the glands of the endocrine system that secrete hormones directly into the bloodstream,WebChild:109792969,anchor,a television reporter who coordinates a broadcast to which several correspondents contribute,/r/PartOf
WebChild:102466957,tail fin,the tail of fishes and some other aquatic vertebrates,WebChild:102591330,red porgy,food fish of the Mediterranean and Atlantic coasts of Europe and America,/r/PartOf
WebChild:105609111,alpha receptor,receptors postulated to exist on nerve cell membranes of the sympathetic nervous system in order to explain the specificity of certain agents that affect only some sympathetic activities (such as vasoconstriction and relaxation of intestinal muscles and c,WebChild:109842629,bassist,a musician who play the bass viol,/r/PartOf
WebChild:105500812,myelencephalon,the posterior part of the hindbrain in developing vertebrates; forms the medulla oblongata in adults,WebChild:109890894,candlemaker,a person who makes or sells candles,/r/PartOf
WebChild:105436381,achromatin,the part of a cell nucleus that is relatively uncolored by stains or dyes,WebChild:111865071,caper,any of numerous plants of the genus Capparis,/r/PartOf
WebChild:105472538,medial condyle,a condyle on the inner side of the lower extremity of the femur,WebChild:110632576,specialist,practices one branch of medicine,/r/PartOf
WebChild:105349659,lacrimal artery,an artery that originates from the ophthalmic artery and supplies the lacrimal gland and rectal eye muscles and the upper eyelid and the forehead,WebChild:101573074,meadowlark,North American songbirds having a yellow breast,/r/PartOf
WebChild:105568104,femoral nerve,one of a pair of nerves that originate from lumbar nerves and supply the muscles and skin of the anterior part of the thigh,WebChild:110396908,paperboy,a boy who sells or delivers newspapers,/r/PartOf
WebChild:105484355,anterior pituitary,the anterior lobe of the pituitary body; primarily glandular in nature,WebChild:101945143,brown snail,serious garden pest having a brown shell with paler zigzag markings; nearly cosmopolitan in distribution,/r/PartOf
WebChild:101325658,antler,deciduous horn of a member of the deer family,WebChild:114586258,mixture,(chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding),/r/MadeOf
WebChild:105491461,corpus callosum,a broad transverse nerve tract connecting the two cerebral hemispheres,WebChild:110119685,gamine,a homeless girl who roams the streets,/r/PartOf
WebChild:105485314,islands of Langerhans,cell clusters in the pancreas that form the endocrine part of that organ; secrete insulin and other hormones,WebChild:110274985,low-birth-weight baby,"an infant born weighing less than 5.5 pounds (2500 grams) regardless of gestational age; ""a low-birth-weight infant is at risk for developing lack of oxygen during labor""",/r/PartOf
WebChild:105405946,digestive juice,secretions that aid digestion,WebChild:110397001,paperhanger,one whose occupation is decorating walls with wallpaper,/r/PartOf
WebChild:102452464,muzzle,forward projecting part of the head of certain animals; includes the jaws and nose,WebChild:102108551,Tibetan mastiff,very large powerful rough-coated dog native to central Asia,/r/PartOf
WebChild:110689878,talent,a person who possesses unusual innate ability in some field or activity,WebChild:105267345,tissue,part of an organism consisting of an aggregate of cells having a similar structure and function,/r/MadeOf
WebChild:105228020,mamillary body,one of two small round structures on the undersurface of the brain that form the terminals of the anterior arches of the fornix,WebChild:101514668,cock,adult male bird,/r/PartOf
WebChild:105317354,cornea,the transparent dome-shaped anterior portion of the outer covering of the eye; it covers the iris and pupil and is continuous with the sclera,WebChild:110448670,polemicist,a writer who argues in opposition to others (especially in theology),/r/PartOf
WebChild:103233905,drawer,a boxlike container in a piece of furniture; made so as to slide in and out,WebChild:103515934,hermitage,the abode of a hermit,/r/PartOf
WebChild:104164989,section,"one of several parts or pieces that fit with others to constitute a whole object; ""a section of a fishing rod""; ""metal sections were used below ground""; ""finished the final segment of the road""",WebChild:109902256,cavalier,a gallant or courtly gentleman,/r/PartOf
WebChild:105278584,phalanx,any of the bones of the fingers or toes,WebChild:102156871,quadruped,an animal especially a mammal having four limbs specialized for walking,/r/PartOf
WebChild:105459232,muscle fiber,an elongated contractile cell that forms the muscles of the body,WebChild:110099375,follower,a person who accepts the leadership of another,/r/PartOf
WebChild:105243435,stratum granulosum,the layer of epidermis just under the stratum corneum or (on the palms and soles) just under the stratum lucidum; contains cells (with visible granules) that die and move to the surface,WebChild:110420392,petroleum geologist,a specialist in petroleum geology,/r/PartOf
WebChild:105597594,loins,the region of the hips and groin and lower abdomen,WebChild:110116905,gadabout,a restless seeker after amusement or social companionship,/r/PartOf
WebChild:105315095,conjunctiva,a transparent lubricating mucous membrane that covers the eyeball and the under surface of the eyelid,WebChild:109877288,brother-in-law,a brother by marriage,/r/PartOf
