to_ss	to_word	relation	from_ss	from_word	isvisual	cardinality	score
103309808	cloth	hasSubstance	114866889	fibre	 	 	0.8
102863750	boiler	hasSubstance	114802450	steel	 	 	0.8
109229641	brooklet	hasSubstance	114785941	buffer	 	""	0.8
110421753	pharmacologist	hasSubstance	105267345	tissue	 	""	1
104148464	scoinson arch	hasSubstance	114802450	steel	 	""	0.8
112623818	alderleaf Juneberry	hasSubstance	113096779	lignum	 	""	1
103053788	club	hasSubstance	114752323	glucosamine	 	""	1
102241008	backswimmer	hasSubstance	105267548	animal tissue	 	""	1
107738105	freestone	hasSubstance	106256697	page	 	""	0.8
114850051	emery stone	hasSubstance	114662574	mineral	 	""	1
102092002	Scottish deerhound	hasSubstance	105267345	tissue	 	""	1
104437953	timepiece	hasSubstance	114625458	metal	 	""	0.8
104432308	tick	hasSubstance	114925776	kapok	 	""	1
102530999	allice shad	hasSubstance	105267345	tissue	 	""	1
110785480	withdrawer	hasSubstance	105267345	tissue	 	""	1
114975598	papyrus	hasSubstance	114984973	coloring material	 	""	0.8
104462576	trace detector	hasSubstance	106256697	page	 	""	0.8
114908297	histaminase	hasSubstance	114601829	amino acid	 	""	1
109839085	bar fly	hasSubstance	105267345	tissue	 	""	1
112317296	iron tree	hasSubstance	114935319	lignin	 	""	1
112459275	wild hyacinth	hasSubstance	105267345	tissue	 	""	1
107587331	eggdrop soup	hasSubstance	107585208	stock	 	""	0.8
109213565	bank	hasSubstance	114995541	sandstone	 	""	0.8
113056135	Boletus mirabilis	hasSubstance	105267345	tissue	 	""	1
102970534	carrycot	hasSubstance	115098161	wood	 	""	0.8
110602695	Beguine	hasSubstance	105267345	tissue	 	""	1
102544274	lancetfish	hasSubstance	105267345	tissue	 	""	1
104461879	toy	hasSubstance	115098161	wood	 	""	0.8
111756329	shittah	hasSubstance	113096779	lignum	 	""	1
104543924	wain	hasSubstance	114640434	hydrogen	 	""	0.8
104467099	trailer	hasSubstance	114845743	water	 	""	0.8
103683341	lock	hasSubstance	114580897	material	 	""	0.8
102726681	apartment building	hasSubstance	114802450	steel	 	""	0.8
103558633	ice tongs	hasSubstance	114973133	pad	 	""	0.8
107920349	cappuccino	hasSubstance	105403427	plasma	 	""	0.8
114845578	caliche	hasSubstance	114586258	mixture	 	""	0.8
112620969	banksia rose	hasSubstance	105267345	tissue	 	""	1
110163900	head linesman	hasSubstance	105267345	tissue	 	""	1
115053212	counterstain	hasSubstance	115098161	wood	 	""	0.8
103507241	hearth	hasSubstance	114830364	deoxyribonucleic acid	 	""	0.8
103655072	legging	hasSubstance	105399847	blood	 	""	0.8
103836906	nylon	hasSubstance	104598965	woof	 	""	1
104543636	wagon tire	hasSubstance	115098161	wood	 	""	0.8
105216365	body	hasSubstance	114922107	fraction	 	""	0.997012042894401
103487642	hand-me-down	hasSubstance	114759722	leather	 	""	0.8
102015357	weka	hasSubstance	105267548	animal tissue	 	""	1
102149653	guano bat	hasSubstance	105267345	tissue	 	""	1
104546595	walk-up	hasSubstance	114648100	oxygen	 	""	0.8
104495183	tucker	hasSubstance	114625458	metal	 	""	0.8
114836642	disaccharide	hasSubstance	114884120	glucose	 	""	0.995698973323919
103506370	health spa	hasSubstance	114802450	steel	 	""	0.8
105286536	connective tissue	hasSubstance	114742917	polypeptide	 	""	1
103768132	mine	hasSubstance	114625458	metal	 	""	0.8
104125692	safety arch	hasSubstance	114802450	steel	 	""	0.8
107730033	cardoon	hasSubstance	114625458	metal	 	""	0.8
111878283	mustard	hasSubstance	105267345	tissue	 	""	1
106616806	documentary	hasSubstance	115093938	wallpaper	 	""	0.8
102299846	death`s-head moth	hasSubstance	105267345	tissue	 	""	1
109992538	date	hasSubstance	105267345	tissue	 	""	1
105259512	braid	hasSubstance	114601829	amino acid	 	""	0.8
104078002	reseau	hasSubstance	114845743	water	 	""	0.8
103180969	sensor	hasSubstance	114738892	substrate	 	""	0.8
104410886	tensiometer	hasSubstance	115098161	wood	 	""	0.8
101942177	gastropod	hasSubstance	105267548	animal tissue	 	""	1
103751590	messuage	hasSubstance	114830364	deoxyribonucleic acid	 	""	0.8
103934890	piezometer	hasSubstance	115100112	hardwood	 	""	0.8
103937543	pill bottle	hasSubstance	115041277	silica	 	""	0.8
103347731	firetrap	hasSubstance	114936226	limestone	 	""	0.8
112762405	Australian sumac	hasSubstance	114935319	lignin	 	""	1
105582513	fascia	hasSubstance	114601829	amino acid	 	""	1
104214871	sideline	hasSubstance	100019613	substance	 	""	0.8
102918112	bullring	hasSubstance	115098161	wood	 	""	0.8
114687261	leaded gasoline	hasSubstance	114586258	mixture	 	""	0.8
104458045	torsion balance	hasSubstance	114625458	metal	 	""	0.8
103593526	jar	hasSubstance	114881303	glass	 	""	0.995816156682559
112640839	Japanese apricot	hasSubstance	113096779	lignum	 	""	1
112552893	restharrow	hasSubstance	105267345	tissue	 	""	1
103953901	placket	hasSubstance	115098161	wood	 	""	0.8
110682953	sweetheart	hasSubstance	105267345	tissue	 	""	1
107593774	ready-mix	hasSubstance	115098161	wood	 	""	0.8
102379081	cow pony	hasSubstance	105267548	animal tissue	 	""	1
102843465	birdcall	hasSubstance	114973133	pad	 	""	0.8
101448594	guppy	hasSubstance	105267345	tissue	 	""	1
109754404	abbot	hasSubstance	105267345	tissue	 	""	1
104591359	wind tunnel	hasSubstance	114586769	alloy	 	""	0.8
101996585	copepod	hasSubstance	105267345	tissue	 	""	1
101543936	avadavat	hasSubstance	105267345	tissue	 	""	1
112301445	olive	hasSubstance	107674508	olive oil	 	""	1
112153033	hardstem bulrush	hasSubstance	105267345	tissue	 	""	1
105255939	lanugo	hasSubstance	114732472	keratin	 	""	1
110282845	maiden aunt	hasSubstance	105267345	tissue	 	""	1
103146777	culotte	hasSubstance	105403427	plasma	 	""	0.8
114915622	frost	hasSubstance	114648100	oxygen	 	""	1
104104500	Roman building	hasSubstance	106256697	page	 	""	0.8
104069276	reflector	hasSubstance	114586258	mixture	 	""	0.8
114898470	gum	hasSubstance	115098161	wood	 	""	0.8
112860978	beefsteak plant	hasSubstance	105267345	tissue	 	""	1
112188635	portia tree	hasSubstance	113097536	sapwood	 	""	1
114934998	linen	hasSubstance	114984973	coloring material	 	""	0.8
102689748	air horn	hasSubstance	114586258	mixture	 	""	0.8
112775393	gutta-percha tree	hasSubstance	105267345	tissue	 	""	1
114768854	art paper	hasSubstance	106256697	page	 	""	0.8
112321669	nutmeg hickory	hasSubstance	114935319	lignin	 	""	1
101675352	flying gecko	hasSubstance	105267345	tissue	 	""	1
115112702	wad	hasSubstance	114625458	metal	 	""	0.8
109863500	bohemian	hasSubstance	105267345	tissue	 	""	1
104383839	taffeta	hasSubstance	114625458	metal	 	""	0.8
107703743	polenta	hasSubstance	114984973	coloring material	 	""	0.8
103501152	hazard	hasSubstance	114586769	alloy	 	""	0.8
114817419	episome	hasSubstance	114706889	adenine	 	""	1
115087384	vellum	hasSubstance	114793921	cellulose	 	""	1
112220829	lomatia	hasSubstance	113096779	lignum	 	""	1
112202936	linden	hasSubstance	113097752	heartwood	 	""	1
109683306	Shiite	hasSubstance	105267345	tissue	 	""	1
104235291	sled	hasSubstance	114640434	hydrogen	 	""	0.8
114698000	sedimentary rock	hasSubstance	114662574	mineral	 	""	1
102014524	chunga	hasSubstance	105267345	tissue	 	""	1
104417467	thalidomide	hasSubstance	114873641	formulation	 	""	0.8
101813532	Streptopelia turtur	hasSubstance	105267345	tissue	 	""	1
102077152	fur seal	hasSubstance	105267345	tissue	 	""	1
114946939	manila	hasSubstance	106256697	page	 	""	0.8
101498406	roughtail stingray	hasSubstance	105267548	animal tissue	 	""	1
112137954	feterita	hasSubstance	105267345	tissue	 	""	1
